 "no comment"	无可奉告
History of the Five Dynasties , eighteenth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile under Xue Juzheng 薛居正[Xue1 Ju1 zheng4] in 974 during Northern Song 北宋[Bei3 Song4], 150 scroll	旧五代史
History of the Five Dynasties, eighteenth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile under Xue Juzheng 薛居正[Xue1 Ju1 zheng4] in 974 during Northern Song 北宋[Bei3 Song4], 150 scroll	五代史
History of the Former Han Dynasty, second of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compose by Ban Gu 班固[Ban1 Gu4] in 82 during Eastern Han , 100 scroll	前汉书	汉书
History of the Jin Dynasty, fifth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile under Fang Xuanling 房玄齡|房玄龄[Fang2 Xuan2 ling2] in 648 during Tang Dynasty 唐朝[Tang2 chao2], 130 scroll	晋书
History of the Jurchen Jin Dynasty, twenty second of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compose under Toktoghan 脫脫|脱脱[Tuo1 tuo1] in 1345 during the Yuan Dynasty 元[Yuan2], 135 scroll	金史
History of the Later Tang Dynasty, seventeenth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile under Ouyang Xiu 歐陽修|欧阳修[Ou1 yang2 Xiu1] and Song Qi 宋祁[Song4 Qi2] in 1060 during Northern Song 北宋[Bei3 Song4], 225 scroll	新唐书
History of the Liao Dynasty, twenty first of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compose under Toktoghan 脫脫|脱脱[Tuo1 tuo1] in 1345 during the Yuan Dynasty 元[Yuan2], 116 scroll	辽史
History of the Ming Dynasty, twenty fourth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile under Zhang Tingyu 張廷玉|张廷玉[Zhang1 Ting2 yu4] in 1739 during the Qing Dynasty, 332 scroll	明史
History of the Northern Dynasties, fifteenth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile by Li Yanshou 李延壽|李延寿[Li3 Yan2 shou4] in 659 during Tang Dynasty, 100 scroll	北史
History of the Party	党史
History of the Song Dynasty, twentieth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compose under Toktoghan 脫脫|脱脱[Tuo1 tuo1] in 1345 during the Yuan Dynasty 元[Yuan2], 496 scroll	宋史
History of the Southern Dynasties, fourteenth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile by Li Yanshou 李延壽|李延寿[Li3 Yan2 shou4] in 659 during Tang Dynasty, 80 scroll	南史
History of the Southern States Wu and Yue , compile by Han historian Zhao Ye 趙曄|赵晔, 10 extant scroll	吴越春秋
History of the Sui Dynasty, thirteenth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile under Wei Zheng 魏徵|魏征[Wei4 Zheng1] in 636 during Tang Dynasty, 85 scroll	隋书
History of the Three Kingdoms, fourth of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compose by Chen Shou 陳壽|陈寿[Chen2 Shou4] in 289 during Jin Dynasty 晉朝|晋朝[Jin4 chao2], 65 scroll	三国志
History of the Yuan Dynasty, twenty third of the 24 dynastic history 二十四史[Er4 shi2 si4 Shi3], compile under Song Lian 宋濂[Song4 Lian2] in 1370 during the Ming Dynasty, 210 scroll	元史
Histosols	有机土
Hitachi, Ltd.	日立
Hmong or Miao ethnic group of southwest China	苗	苗族
Ho Chi Minh , former Vietnamese leader	胡志明
Ho Chi Minh City a.k.a. Saigon, Vietnam	胡志明市
Hoanya, one of the indigenous people of Taiwan	洪雅族
Hobart, capital of Tasmania, Australia	荷巴特
Hobbit	哈比人
Hobbs	霍布斯
Hoboksar Mongol autonomous county or Qobuqsar Mongghul aptonom nahiyisi in Tacheng prefecture 塔城地區|塔城地区[Ta3 cheng2 di4 qu1], Xinjiang	和布克赛尔县	和布克赛尔蒙古自治县
Hofmann or Hoffman	霍夫曼
Hogwarts	霍格沃茨
Hoh Xil or Kekexili, vast nature reserve on Qinghai-Tibetan Plateau 青藏高原[Qing1 Zang4 gao1 yuan2]	可可西里
Hohhot prefecture level city, capital of Inner Mongolia autonomous region 內蒙古自治區|内蒙古自治区[Nei4 meng3 gu3 Zi4 zhi4 qu1]	呼和浩特	呼和浩特市
Hoi An	会安
Hokkaidō, Japan	北海道
Hokksund	霍克松
Hoklo	福佬
Hoklo people, southern Chinese people of Taiwan	河洛人	鹤佬人
Holbrook	霍尔布鲁克
Holland	荷	荷兰	菏兰
Hollywood	好莱坞
Holmes	霍尔姆斯
Holocene	全新世
Holy Bible	圣经
Holy City	圣城
Holy Father	圣父
Holy Ghost	圣灵
Holy Grail	圣杯	圣盘
Holy Mother	圣母
Holy Son	圣子
Holy Trinity	三位一体
Holy communion	圣餐
Holy mystery	奥迹
Holy relic	圣迹
Holy sacrament	圣事	圣礼
Holy war	圣战
Holy week	神圣周
Homei town in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4], Taiwan	和美	和美镇
Homer	荷马
Homer's Iliad	伊利亚特
Homer's Odyssey	奥德赛
Hominini	人族
Homo economicus	经济人
Homo erectus	直立人
Homo habilis, extinct specie of upright East African hominid	巧人
Homo sapiens	智人
Homoptera	同翅目
Hon Hai Precision Industry Company, Taiwan technology company	鸿海
Honda	本田
Honduras	宏都拉斯	洪都拉斯
Honecker	昂纳克
Honeymoon	红泥月亮
Hong Kong	香港
Hong Kong Association of Banks	香港银行公会
Hong Kong Cultural Center	香港文化中心
Hong Kong Dragon Airlines , Hong Kong-based international airline	港龙航空
Hong Kong Economic Journal	信报财经新闻
Hong Kong Federation of Trade Unions	香港工会联合会
Hong Kong Football Association	香港足球总会
Hong Kong Island	港岛	香港岛
Hong Kong LRT	搭轻铁
Hong Kong Monetary Authority	香港金融管理局
Hong Kong Police Force	香港警察
Hong Kong Polytechnic University	香港理工大学
Hong Kong Red Cross	香港红十字会
Hong Kong Stock Exchange	港交所	香港交易所
Hong Kong Trade Development Council	香港贸易发展局
Hong Kong University of Science and Technology	香港科技大学
Hong Kong Wetland Park, in Yuen Long, New Territories	香港湿地公园
Hong Kong and Macao Affairs Office	国务院港澳事务办公室
Hong Kong and Macao area	港澳地区
Hong Kong and Shanghai Banking Corporation	汇丰	汇丰银行
Hong Kong and Taiwan	港台
Hong Kong currency	港币
Hong Kong dollar	港元
Hong Kong government	港府
Hong Kong orchid	洋紫荆
Hong Kong person or people	港人	香港人
Hong Kong share	港股
Hong Kong 香港 and Macao 澳門|澳门	港澳
Hong Kong 香港, Macao 澳門|澳门 and Taiwan 臺灣|台湾[Tai2 wan1]	港澳台
Hong Kong, abbr. for 香港[Xiang1 gang3]	港
Hong Kong-Zhuhai-Macau road bridge	港珠澳大桥
Hong Liangji , poet and historian	洪亮吉
Hong Taiji , eighth son of Nurhaci 努爾哈赤|努尔哈赤, reign 1626-1636 as Second Khan of Later Jin dynasty 後金|后金, then found the Qing dynasty 大清 and reign 1636-1643 as Emperor	皇太极
Hong Xiuquan or Hung Hsiu-ch'üan , leader of the Taiping rebellion or Taiping Heavenly Kingdom	洪秀全
Hong'an county in Huanggang 黃岡|黄冈[Huang2 gang1], Hubei	红安	红安县
Honggang district of Daqing city 大慶|大庆[Da4 qing4], Heilongjiang	红岗	红岗区
Honggu District of Lanzhou City 蘭州市|兰州市[Lan2 zhou1 Shi4], Gansu	红古	红古区
Honghe Hani and Yi autonomous prefecture in Yunnan 雲南|云南	红河哈尼族彝族自治州	红河州
Honghe county in Honghe Hani and Yi autonomous prefecture, Yunnan	红河	红河县
Honghu county level city in Jingzhou 荊州|荆州[Jing1 zhou1], Hubei	洪湖	洪湖市
Honghua district of Zun'yi city 遵義市|遵义市[Zun1 yi4 shi4], Guizhou	红花岗	红花岗区
Hongjiang county level city in Huaihua 懷化|怀化[Huai2 hua4], Hunan	洪江	洪江市
Hongjiang district of Huaihua city 懷化市|怀化市[Huai2 hua4 shi4], Hunan	洪江区
Hongkou district, central Shanghai	虹口区
Hongmiao village in Mudan District 牡丹區|牡丹区[Mu3 dan5 Qu1] of Heze City, Shandong	洪庙村
Hongqiao Airport	虹桥机场
Hongqiao district of Tianjin municipality 天津市[Tian1 jin1 shi4]	红桥	红桥区
Hongqiao, the name of numerous entities, notably a major airport in Shanghai, and a district in Tianjin	虹桥
Hongshan district of Chifeng city 赤峰市, Inner Mongolia	红山	红山区
Hongshan district of Wuhan city 武漢市|武汉市[Wu3 han4 shi4], Hubei	洪山	洪山区
Hongsibao district of Wuzhong city 吳忠市|吴忠市[Wu2 zhong1 shi4], Ningxia	红寺堡	红寺堡区	红寺堡镇
Hongta district of Yuxi city 玉溪市[Yu4 xi1 shi4], Yunnan	红塔	红塔区
Hongtong county in Linfen 臨汾|临汾[Lin2 fen2], Shanxi	洪洞	洪洞县
Hongwei district of Liaoyang city 遼陽市|辽阳市[Liao2 yang2 shi4], Liaoning	宏伟区
Hongwu Emperor, also write Hung-wu Ti, reign name of first Ming emperor Zhu Yuanzhang 朱元璋[Zhu1 Yuan2 zhang1] , reign 1386-1398, Temple name 明太祖[Ming2 Tai4 zu3]	洪武
Hongxi Emperor, reign name of fourth Ming emperor Zhu Gaochi 朱高熾|朱高炽[Zhu1 Gao1 chi4] , Temple name 明仁宗[Ming2 Ren2 zong1]	洪熙
Hongxing district of Yichun city 伊春市[Yi1 chun1 shi4], Heilongjiang	红星	红星区
Hongya County in Meishan 眉山市[Mei2 shan1 Shi4], Sichuan	洪雅	洪雅县
Hongyuan county  in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[A1 ba4 Zang4 zu2 Qiang1 zu2 zi4 zhi4 zhou1], northwest Sichuan	红原	红原县
Hongze Lake in Jiangsu province	洪泽湖
Hongze county in Huai'an 淮安[Huai2 an1], Jiangsu	洪泽	洪泽县
Hongzhi Emperor, reign name of ninth Ming emperor 朱祐樘[Zhu1 You4 tang2] , reign 1487-1505, Temple name 明孝宗[Ming2 Xiao4 zong1]	弘治
Honiara, capital of Solomon Islands	荷尼阿拉	霍尼亚拉
Honinbo Shusaku , Japanese Go player	本因坊秀策
Honinbo, major school of Go in Japan	本因坊
Honolulu, capital of Hawaii	檀香山	火奴鲁鲁
Honoré de Balzac , French novelist, author of series La comédie humaine	巴尔扎克
Honshū, the main island of Japan	本州
Hook or Hooke	胡克
Hoover	胡佛
Hopcalite canister	氧化罐
Hoping township in Taichung county 臺中縣|台中县[Tai2 zhong1 xian4], Taiwan	和平乡
Hopkins-Nanjing Center	中美文化研究中心
Horace, full Latin name Quintus Horatius Flaccus , Roman poet	贺拉斯
Horatio Nelson , British naval hero	纳尔逊
Horinger county in Hohhot 呼和浩特[Hu1 he2 hao4 te4], Inner Mongolia	和林格尔	和林格尔县
Horizontal Alliance, clique of the School of Diplomacy 縱橫家|纵横家[Zong4 heng2 jia1] during the Warring States Period	连横
Horkheimer	霍克海姆
Horlicks milk drink	好立克
Hormuz Island, Iran, at the mouth of the Persian gulf	霍尔木兹岛
Hormuz, Iran, at the mouth of the Persian Gulf	霍尔木兹
Horn of Africa	非洲之角
Horologium	时钟座
Horowitz	霍洛维茨
Horqin Left Middle banner or Khorchin Züün Garyn Dund khoshuu in Tongliao 通遼|通辽[Tong1 liao2], Inner Mongolia	科尔沁左翼中	科尔沁左翼中旗
Horqin Left Rear banner or Khorchin Züün Garyn Xoit khoshuu in Tongliao 通遼|通辽[Tong1 liao2], Inner Mongolia	科尔沁左翼后	科尔沁左翼后旗
Horqin district or Xorchin raion of Tongliao city 通遼市|通辽市[Tong1 liao2 shi4], Inner Mongolia	科尔沁区
Horqin or Xorchin, famous Mongolian arch	科尔沁
Horqin right center banner, Mongolian Khorchin Baruun Garyn Dund khoshuu, in Hinggan league 興安盟|兴安盟[Xing1 an1 meng2], east Inner Mongolia	科右中旗	科尔沁右翼中旗
Horqin right front banner, Mongolian Khorchin Baruun Garyn Ömnöd khoshuu, in Hinggan league 興安盟|兴安盟[Xing1 an1 meng2], east Inner Mongolia	科右前旗	科尔沁右翼前旗
Horse-Face, one of the two guardian of the underworld in Chinese mythology	马面
Horten	霍尔滕
Hosanna	和散那
Hosni Mubarak , former Egyptian President and military commander	穆巴拉克
Hotan River in Xinjiang	和田河
Hotel Indigo	英迪格酒店
Hoten Nahiyisi	和田县
Hoten Shehiri	和田市
Hoten Wilayiti	和田地区
Hoten or Khotan city and prefecture in Xinjiang	和田
Hotton, Holden, Wharton, Houghton etc	霍顿
Hou Quan - "Monkey Fist" - Martial Art	猴拳
Houbi township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan	后壁乡
Houli township in Taichung county 臺中縣|台中县[Tai2 zhong1 xian4], Taiwan	后里	后里乡
Houlung town in Miaoli county 苗栗縣|苗栗县[Miao2 li4 xian4], northwest Taiwan	后龙	后龙镇
Houma county level city in Linfen 臨汾|临汾[Lin2 fen2], Shanxi	侯马	侯马市
Houpi township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan	后壁
House	浩室
Houston	休斯顿
Houston, Texas	休士顿	休斯敦
Houttuynia cordata	蕺	蕺菜	鱼腥草
Houyi, mythological Chinese arch whose wife be Chang'e	后羿
How be you get by?	过得
How dare you!	这还了得
How do it happen?	怎么搞的
How do you catch the tiger cub without enter the tiger lair? ; Nothing ventured, nothing gained.	不入虎穴,焉得虎子
Howard	霍华得	霍华德
Hoxud county, Xoshut nahiyisi or Heshuo county in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Ba1 yin1 guo1 leng2 Meng3 gu3 Zi4 zhi4 zhou1], Xinjiang	和硕
Hoxud or Heshuo county or Xoshut nahiyisi in Bayingolin Mongol Autonomous Prefecture 巴音郭楞蒙古自治州[Ba1 yin1 guo1 leng2 Meng3 gu3 Zi4 zhi4 zhou1], Xinjiang	和硕县
Hsiangshan district of Hsinchu City 新竹市[Xin1 zhu2 shi4], Taiwan	香山区
Hsiaying township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan	下营	下营乡
Hsichou township in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4], Taiwan	溪州	溪州乡
Hsienhsi township in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4], Taiwan	线西	线西乡
Hsihu town in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4], Taiwan	溪湖镇
Hsikang township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan	西港乡
Hsinchu, city in north Taiwan note for its high tech industry	新竹市
Hsinhua town in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan	新化镇
Hsinpi township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan	新埤	新埤乡
Hsinshe township in Taichung county 臺中縣|台中县[Tai2 zhong1 xian4], Taiwan	新社	新社乡
Hsinshih township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan	新市	新市乡
Hsinying city in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan	新营	新营市
Hsinyuan township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan	新园	新园乡
Hsiushui township in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4], Taiwan	秀水	秀水乡
Hsu Hsin-liang , Taiwanese politician	许信良
Hsuehchia town in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan	学甲	学甲镇
Hu Egong , Chinese revolutionary and politician	胡鄂公
Hu Jia , PRC dissident human right activist	胡佳
Hu Jintao , General Secretary of the CPC 2002-2012, President of the PRC 2003-2013	胡锦涛
Hu Quan , Song Dynasty official and poet	胡铨
Hu Shi , original proponent of write in colloquial Chinese 白話文|白话文[bai2 hua4 wen2]	胡适
Hu Yaobang , Chinese politician	胡耀邦
Hu Zhua Pai - "Tiger Claw Sytem" - Martial Art	虎爪派
Hu Ziwei , PRC lady TV present	胡紫微	胡紫薇
Hu county in Xi'an 西安[Xi1 an1], Shaanxi	户县
Hu music	胡乐
Hu-Wen New Administration , ostensibly reform-oriented leadership of Hu Jintao 胡錦濤|胡锦涛[Hu2 Jin3 tao1] and Wen Jiabao 溫家寶|温家宝[Wen1 Jia1 bao3]	胡温新政
Hua Guofeng , leader of Chinese communist party aft the cultural revolution	华国锋
Hua Luogeng , Chinese numb theorist	华罗庚
Hua Mulan, legendary woman warrior , Northern dynasty folk hero record in Sui and Tang literature	花木兰
Hua Quan - "Flowery Fist? Magnificent Fist?" - Martial Art	华拳
Hua Tuo , ancient Chinese physician from the Eastern Han period	华陀
Hua Tuo , famous doctor at the end of Han Dynasty	华佗
Hua county in Anyang 安陽|安阳[An1 yang2], Henan	滑县
Hua county in Shaanxi	华县
Hua'an county in Zhangzhou 漳州[Zhang1 zhou1], Fujian	华安	华安县
Hua'nan county in Kiamusze or Jiamusi city 佳木斯[Jia1 mu4 si1], Heilongjiang	桦南	桦南县
Huabeisaurus	华北龙
Huachi county in Qingyang 慶陽|庆阳[Qing4 yang2], Gansu	华池县
Huachuan county in Kiamusze or Jiamusi city 佳木斯[Jia1 mu4 si1], Heilongjiang	桦川	桦川县
Huade county in Ulaanchab 烏蘭察布|乌兰察布[Wu1 lan2 cha2 bu4], Inner Mongolia	化德	化德县
Huadian county level city in Jilin prefecture 吉林, Jilin province	桦甸	桦甸市
Huadu district of Guangzhou city 廣州市|广州市[Guang3 zhou1 shi4], Guangdong	花都	花都区
Huai River, main river of east China, between the Yellow River 黃河|黄河[Huang2 He2] and the Changjiang 長江|长江[Chang2 Jiang1]	淮河
Huai'an county in Zhangjiakou 張家口|张家口[Zhang1 jia1 kou3], Hebei	怀安	怀安县
Huai'an prefecture level city in Jiangsu	淮安	淮安市
Huaibei prefecture level city in Anhui	淮北	淮北市
Huaibin county in Xinyang 信陽|信阳, Henan	淮滨	淮滨县
Huaihai Campaign , one of the three major campaign by the People's Liberation Army near the end of the Chinese Civil War, consider the determine battle of the war	淮海战役
Huaihai, economic hub around Xuzhou 徐州[Xu2 zhou1], include part of Jiangsu, Shandong, Henan and Anhui province	淮海	淮海地区
Huaihua county, Hunan	怀化县
Huaihua prefecture level city in Hunan	怀化	怀化市
Huaiji county in Zhaoqing 肇慶|肇庆[Zhao4 qing4], Guangdong	怀集	怀集县
Huailai county in Zhangjiakou 張家口|张家口[Zhang1 jia1 kou3], Hebei	怀来	怀来县
Huainan prefecture level city in Anhui	淮南	淮南市
Huaining county in Anqing 安慶|安庆[An1 qing4], Anhui	怀宁	怀宁县
